Somali,English,risk_category,risk_subcategory,risk_level
,,,,
Tiknoloojiya 🤯 Premier Bank,Technology 🤯 Premier Bank,General > Neutral,,Low
Moha Moalim Abdi No Duceey,"Moha Moalim Abdi, pray for us.",General > Neutral,,Low
Sida loo kala weyn yahay waye sida lookala badiyey,"The difference in size corresponds to the difference in abundance (The bigger you are, the more you get).",General > Neutral,,Low
Swift lamaba yaqaan saw mahan in marka sidas kooga badiyo way u qalman,"Swift isn't even known; isn't it true that when they increase it like that, they deserve it?",Reputational > Fee Transparency,,Medium
6 iyo 0 isku dara hee 60 ka dollar fadlan isoodira muhiim u ahay,"Put 6 and 0 together, please send me 60 dollars, it is important to me.",General > Spam/Neutral,,Low
Wixii dubay expire laga soo qaaday oo dhan anaga nooxdiisiinaysaan,You are forcing all the expired things taken from Dubai on us.,Reputational > Ethical & Trust,,High
Premier Bank sidee ayaa lacag ugu shuban karaa acountiga primer anigoo dalka south Africa joogo,"Premier Bank, how can I deposit money into a Premier account while I am in South Africa?",Operational > Technical Support,,Low
Tuugada taleefan lee dhici jireyn inee faraantiyaasha naga dhacaan maarabtiin,"Thieves used to only steal phones, do you want them to steal our rings now?",Security & Fraud > Safety,,Medium
Xayaysiintan waxa ku jiro shirki weyn (شرك أكبر) wal ciyaadu bi allah.,"This advertisement contains major Shirk (polytheism), I seek refuge in Allah.",Compliance > Regulatory/Sharia,,High
Safetyga kawaran hadii lay soo agmaro oo layga xoqdo kawaranhee yaa ka masuul ah,"What about safety? If someone passes by me and swipes/steals it [the money via contactless], who is responsible?",Security & Fraud > Data Privacy,,High
War waxaan aduunka kama shaqeyaan dadka yaa lagu dhimin Apple wallet ama samsung pay dalka hala keeno Premier Bank,"Hey, this thing doesn't work in the world, don't fool people. Bring Apple Wallet or Samsung Pay to the country, Premier Bank.",Reputational > Customer Service,,Medium
Fargaladii ban la baqaya hda,I am afraid for the rings now [fear of theft].,Security & Fraud > Safety,,Medium
Waafi Mastercard igu filan,Waafi Mastercard is enough for me.,General > Neutral (Competitor),,Low
Awguure Beeldeeq garacani waa belaayo,"Awguure Beeldeeq, this rascal is a disaster [slang for 'too much' or 'trouble'].",Reputational > Customer Service,,Medium
